id,s_width,s_height,s_storage_size,s_duration,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,t_average_bitrate,e_width,e_height,c_content_category_Border collie,c_content_category_alp,c_content_category_ballplayer,c_content_category_bannister,c_content_category_bathing cap,c_content_category_bearskin,c_content_category_bicycle-built-for-two,c_content_category_bobsled,c_content_category_breastplate,c_content_category_car mirror,c_content_category_chainlink fence,c_content_category_church,c_content_category_cloak,c_content_category_collie,c_content_category_comic book,c_content_category_convertible,c_content_category_croquet ball,c_content_category_dumbbell,c_content_category_envelope,c_content_category_football helmet,c_content_category_geyser,c_content_category_grille,c_content_category_jersey,c_content_category_lab coat,c_content_category_lakeside,c_content_category_maillot,c_content_category_mask,c_content_category_matchstick,c_content_category_maze,c_content_category_miniskirt,c_content_category_mortarboard,c_content_category_mountain bike,c_content_category_palace,c_content_category_parachute,c_content_category_pay-phone,c_content_category_prison,c_content_category_promontory,c_content_category_puck,c_content_category_racer,c_content_category_rain barrel,c_content_category_reflex camera,c_content_category_scoreboard,c_content_category_seashore,c_content_category_ski,c_content_category_ski mask,c_content_category_snowmobile,c_content_category_spider web,c_content_category_sports car,c_content_category_spotlight,c_content_category_stage,c_content_category_submarine,c_content_category_suit,c_content_category_swing,c_content_category_trench coat,c_content_category_trimaran,c_content_category_volcano,c_content_category_volleyball,c_content_category_warplane,c_content_category_web site,c_content_category_whistle,c_content_category_wig
8063,1920,1080,14712832,1603,,,0.0,0.0,0.0,0.1122894572676232,0.037429819089207735,0.0002476111374249413,8.577967718706435e-05,3.994627967365718e-05,0.0002504932238677993,0.0013902341368215445,0.0003436182617438756,0.00022799848040642813,0.0013934408514060205,0.00991063384217936,0.0034333309096770412,0.0015988495320527164,0.010025989329552513,1845,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4484,1920,1080,94776247,60,40.798,26.878,8.0,2.0,0.0,10.0,4.0,0.2688795117455419,0.17234846536351173,0.2763405832047325,0.28243143968621404,0.2278961698398387,0.061641118013474175,0.13670588748266704,0.21815342277305916,0.1640940221027803,0.0673058121352157,0.12325555000197486,0.14759126887732096,1023,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,1920,1080,137727577,91,59.794,39.03,15.164835164835164,2.6373626373626378,0.6593406593406594,38.901098901098905,14.505494505494505,0.2919179576210826,0.2859354349675531,0.26316504290462633,0.15898156450673812,0.1574575805305347,0.06884849658063429,0.09502998832151748,0.10797092176121573,0.14075457036935174,0.09335542098647184,0.10603237629258316,0.1081221668739364,2403,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6330,1920,1080,1940504072,1397,64.697,20.929000000000002,4.294917680744453,1.0737294201861132,0.0,10.866141732283463,4.724409448818896,0.2064146599138808,0.2360216185854241,0.25282286918930513,0.3047408523113908,0.10603965645626072,0.050182227567792385,0.07810265148445189,0.5608448393328376,0.08256137976141882,0.08844786550038526,0.0927794600483876,0.13798884321048566,6833,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7154,1920,1080,1484473631,1108,50.54600000000001,14.354000000000001,6.823104693140794,2.9241877256317688,0.4873646209386281,8.285198555956677,6.064981949458482,0.2233404893655941,0.28141653632485786,0.2339475406717514,0.261295433637797,0.1455062853998753,0.09700820401780118,0.11192839634228004,0.3758089178419805,0.17782704217910258,0.13129473683355716,0.13055029148378405,0.20769742678162134,291,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682,1920,1080,131802192,90,38.195,28.633000000000003,12.666666666666664,0.6666666666666667,0.0,23.33333333333333,7.333333333333332,0.16044293338477375,0.21688137288523102,0.36641767582590296,0.2562580179040923,0.1271334481516519,0.09549331761771937,0.19094519722855305,0.3496878146299374,0.14252147130114445,0.14232403210568598,0.15180195945133246,0.1769319461020245,6244,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588,1920,1080,311160322,237,47.165,14.59,2.0253164556962022,1.2658227848101264,0.0,2.7848101265822787,2.278481012658228,0.14383075670460654,0.2876062638910593,0.3475751575495738,0.2209878218547604,0.09010792107898956,0.2174300831484016,0.18818188635498512,0.4751086284089354,0.16583093189307624,0.1290796211068623,0.20453097240428425,0.1977231171239353,107,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3616,1920,1080,116625970,87,42.001000000000005,20.077,28.965517241379317,3.4482758620689653,0.0,48.96551724137931,39.31034482758621,0.5555487411901047,0.2507350423939264,0.15036092301393028,0.043355293402038704,0.6875073359062212,0.0741318604347275,0.05178464770146753,0.047687386120632086,0.31157541171634,0.15482522400269152,0.14774695517887296,0.08789931758979751,958,640,360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3376,1920,1080,132377782,92,51.387,24.455,29.347826086956523,7.173913043478262,0.6521739130434783,31.95652173913044,25.43478260869565,0.2845899957645598,0.337334001847938,0.2433582130496287,0.1347177893378735,0.1585218341500708,0.11194280609724366,0.0910557467511044,0.138737863863212,0.22872964765782455,0.1534318641160831,0.13841337564169914,0.11096516789873513,3284,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9355,1920,1080,-925317116,8177,48.953,12.415,4.197138314785374,0.1174024703436468,0.0,8.012718600953896,1.0859728506787332,0.6604659310477861,0.20347170861315064,0.10543642471185374,0.03050364138727084,2.3534824497864664,0.06351611392385445,0.05368150895899273,0.03404616141483602,0.1892958052472952,0.11554081086094616,0.09268584466261467,0.0514872184784386,387,640,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
